# Per-frame agreement breakdown for reel_c1: mouth optical motion choice vs diarization label
# Note: diar_label shows raw transcript segment speaker; vad_speech gates active speech evaluation.
# frame	vad_speech	mouth_label	diar_label	agree
 241	True 	spk_b  	spk_a  	False
 242	True 	spk_b  	spk_a  	False
 243	True 	spk_b  	spk_a  	False
 244	True 	spk_b  	spk_a  	False
 245	True 	spk_b  	spk_a  	False
 246	True 	spk_a  	spk_a  	True 
 247	True 	spk_a  	spk_a  	True 
 248	True 	spk_a  	spk_a  	True 
 249	True 	spk_a  	spk_a  	True 
 250	True 	spk_a  	spk_a  	True 
 251	True 	spk_b  	spk_a  	False
 252	True 	spk_b  	spk_a  	False
 253	True 	spk_b  	spk_a  	False
 254	True 	spk_b  	spk_a  	False
 255	True 	spk_b  	spk_a  	False
 256	True 	spk_b  	spk_a  	False
 257	True 	spk_b  	spk_a  	False
 258	True 	spk_b  	spk_a  	False
 259	True 	spk_a  	spk_a  	True 
 260	True 	spk_b  	spk_a  	False
 261	True 	spk_b  	spk_a  	False
 262	True 	spk_b  	spk_a  	False
 263	True 	spk_b  	spk_a  	False
 264	True 	spk_b  	spk_a  	False
 265	True 	spk_b  	spk_a  	False
 266	True 	spk_b  	spk_a  	False
 267	True 	spk_b  	spk_a  	False
 268	True 	spk_b  	spk_a  	False
 269	True 	spk_b  	spk_a  	False
 270	True 	spk_b  	spk_a  	False
 271	True 	spk_b  	spk_a  	False
 272	True 	spk_b  	spk_a  	False
 273	True 	spk_b  	spk_a  	False
 274	True 	spk_b  	spk_a  	False
 275	True 	spk_b  	spk_a  	False
 276	True 	spk_b  	spk_a  	False
 277	True 	spk_b  	spk_a  	False
 278	True 	spk_b  	spk_a  	False
 279	True 	spk_b  	spk_a  	False
 280	True 	spk_b  	spk_a  	False
 281	True 	spk_b  	spk_a  	False
 282	True 	spk_a  	spk_a  	True 
 283	True 	spk_a  	spk_a  	True 
 284	True 	spk_a  	spk_a  	True 
 285	True 	spk_a  	spk_a  	True 
 286	True 	spk_a  	spk_a  	True 
 287	True 	spk_b  	spk_a  	False
 288	True 	spk_b  	spk_a  	False
 289	True 	spk_b  	spk_a  	False
 290	True 	spk_b  	spk_a  	False
 291	True 	spk_b  	spk_a  	False
 292	True 	spk_b  	spk_a  	False
 293	True 	spk_a  	spk_a  	True 
 294	True 	spk_a  	spk_a  	True 
 295	True 	spk_b  	spk_a  	False
 296	True 	spk_b  	spk_a  	False
 297	True 	spk_b  	spk_a  	False
 298	True 	spk_b  	spk_a  	False
 299	True 	spk_b  	spk_a  	False
 300	True 	spk_a  	spk_a  	True 
 301	True 	spk_a  	spk_a  	True 
 302	True 	spk_a  	spk_a  	True 
 303	True 	spk_b  	spk_a  	False
 304	True 	spk_b  	spk_a  	False
 305	True 	spk_b  	spk_a  	False
 306	True 	spk_b  	spk_a  	False
 307	True 	spk_b  	spk_a  	False
 308	True 	spk_b  	spk_a  	False
 309	True 	spk_b  	spk_a  	False
 310	True 	spk_b  	spk_a  	False
 311	True 	spk_a  	spk_a  	True 
 312	True 	spk_a  	spk_a  	True 
 313	True 	spk_a  	spk_a  	True 
 314	True 	spk_a  	spk_a  	True 
 315	True 	spk_a  	spk_a  	True 
 316	True 	spk_a  	spk_a  	True 
 317	True 	spk_a  	spk_a  	True 
 318	True 	spk_b  	spk_a  	False
 319	True 	spk_b  	spk_a  	False
 320	True 	spk_b  	spk_a  	False
 321	True 	spk_b  	spk_a  	False
 322	True 	spk_a  	spk_a  	True 
 323	True 	spk_a  	spk_a  	True 
 324	True 	spk_a  	spk_a  	True 
 325	True 	spk_a  	spk_a  	True 
 326	True 	spk_a  	spk_a  	True 
 327	True 	spk_a  	spk_a  	True 
 328	True 	spk_a  	spk_a  	True 
 329	True 	spk_b  	spk_a  	False
 330	True 	spk_b  	spk_a  	False
 331	True 	spk_b  	spk_a  	False
 332	True 	spk_b  	spk_a  	False
 333	True 	spk_b  	spk_a  	False
 334	True 	spk_b  	spk_a  	False
 335	True 	spk_b  	spk_a  	False
 336	True 	spk_b  	spk_a  	False
 337	True 	spk_b  	spk_a  	False
 338	True 	spk_b  	spk_a  	False
 339	True 	spk_b  	spk_a  	False
 340	True 	spk_b  	spk_a  	False
 341	True 	spk_a  	spk_a  	True 
 342	True 	spk_b  	spk_a  	False
 343	True 	spk_b  	spk_a  	False
 344	True 	spk_a  	spk_a  	True 
 345	True 	spk_a  	spk_a  	True 
 346	True 	spk_a  	spk_a  	True 
 347	True 	spk_a  	spk_a  	True 
 348	True 	spk_a  	spk_a  	True 
 349	True 	spk_b  	spk_a  	False
 350	True 	spk_b  	spk_a  	False
 351	True 	spk_b  	spk_a  	False
 352	True 	spk_b  	spk_a  	False
 353	True 	spk_b  	spk_a  	False
 354	True 	spk_b  	spk_a  	False
 355	True 	spk_b  	spk_a  	False
 356	True 	spk_b  	spk_a  	False
 357	True 	spk_b  	spk_a  	False
 358	True 	spk_b  	spk_a  	False
 359	True 	spk_b  	spk_a  	False
 360	False	spk_b  	spk_a  	False
 361	False	spk_b  	spk_a  	False
 362	False	spk_b  	spk_a  	False
 363	False	spk_b  	spk_a  	False
 364	False	spk_b  	spk_a  	False
 365	False	spk_b  	spk_a  	False
 366	False	spk_b  	spk_a  	False
 367	False	spk_b  	spk_a  	False
 368	False	spk_b  	spk_a  	False
 369	False	spk_b  	spk_a  	False
 370	False	spk_b  	spk_a  	False
 371	False	spk_b  	spk_a  	False
 372	False	spk_b  	spk_a  	False
 373	False	spk_b  	spk_a  	False
 374	False	spk_b  	spk_a  	False
 375	True 	spk_b  	spk_a  	False
 376	True 	spk_b  	spk_a  	False
 377	True 	spk_a  	spk_a  	True 
 378	True 	spk_b  	spk_a  	False
 379	True 	spk_a  	spk_a  	True 
 380	True 	spk_a  	spk_a  	True 
 381	True 	spk_a  	spk_a  	True 
 382	True 	spk_b  	spk_a  	False
 383	True 	spk_b  	spk_a  	False
 384	True 	spk_b  	spk_a  	False
 385	True 	spk_b  	spk_a  	False
 386	True 	spk_b  	spk_a  	False
 387	True 	spk_b  	spk_a  	False
 388	True 	spk_a  	spk_a  	True 
 389	True 	spk_a  	spk_a  	True 
 390	True 	spk_a  	spk_a  	True 
