# Frame-by-frame normalized mouth-region optical motion for reel_c1 (945.0s - 985.0s)
# frame_idx	time_sec	mouth_spk_a	mouth_spk_b	diff (a - b)
 375	 957.500	0.0217	0.4931	-0.4715
 376	 957.533	0.0151	0.2834	-0.2683
 377	 957.567	0.0609	0.2643	-0.2034
 378	 957.600	0.0127	0.2770	-0.2644
 379	 957.633	0.4467	0.6317	-0.1850
 380	 957.667	0.0101	0.6962	-0.6861
 381	 957.700	0.4607	0.0681	+0.3925
 382	 957.733	0.0119	0.2124	-0.2005
 383	 957.767	0.4581	0.1378	+0.3203
 384	 957.800	0.0083	0.5941	-0.5858
 385	 957.833	0.0050	0.0212	-0.0162
 386	 957.867	0.0061	0.9508	-0.9447
 387	 957.900	0.0187	0.9798	-0.9611
 388	 957.933	0.0104	0.6525	-0.6420
 389	 957.967	0.0074	0.2912	-0.2839
 390	 958.000	0.7582	0.1665	+0.5917
 391	 958.033	0.0087	0.7684	-0.7597
 392	 958.067	0.0478	0.2365	-0.1887
 393	 958.100	0.0059	0.5917	-0.5858
 394	 958.133	0.0076	0.1178	-0.1101
 395	 958.167	0.0073	0.5824	-0.5751
 396	 958.200	0.0095	0.1564	-0.1469
 397	 958.233	0.0049	0.1832	-0.1783
 398	 958.267	0.0064	0.6898	-0.6834
 399	 958.300	0.0171	0.6408	-0.6238
 400	 958.333	0.0349	0.2274	-0.1926
 401	 958.367	0.0284	0.6723	-0.6439
 402	 958.400	0.0090	0.2679	-0.2589
 403	 958.433	0.0075	0.1187	-0.1112
 404	 958.467	0.0232	0.7475	-0.7243
 405	 958.500	0.6871	0.1024	+0.5847
 406	 958.533	0.0238	0.0936	-0.0697
 407	 958.567	0.0124	0.6568	-0.6444
 408	 958.600	0.0238	0.3169	-0.2931
 409	 958.633	0.0452	0.5961	-0.5510
 410	 958.667	0.6931	0.0709	+0.6222
 411	 958.700	0.6795	0.2234	+0.4561
 412	 958.733	0.0375	0.1610	-0.1235
 413	 958.767	0.0617	0.3359	-0.2742
 414	 958.800	0.0067	0.1063	-0.0996
 415	 958.833	0.0295	0.3279	-0.2984
 416	 958.867	0.0300	0.1403	-0.1103
 417	 958.900	0.0039	0.2124	-0.2084
 418	 958.933	0.0083	0.0890	-0.0807
 419	 958.967	0.0074	0.2841	-0.2766
 420	 959.000	0.0087	0.7520	-0.7433
 421	 959.033	0.0039	0.6516	-0.6477
 422	 959.067	0.0049	0.7423	-0.7374
 423	 959.100	0.6717	0.8663	-0.1946
 424	 959.133	0.0082	0.4226	-0.4144
 425	 959.167	0.6757	0.1419	+0.5338
 426	 959.200	0.0053	0.2268	-0.2215
 427	 959.233	0.6754	0.3376	+0.3378
 428	 959.267	0.0097	0.2143	-0.2046
 429	 959.300	0.6644	0.2464	+0.4180
 430	 959.333	0.0214	0.4792	-0.4577
 431	 959.367	1.0000	0.2511	+0.7489
 432	 959.400	1.0000	0.3039	+0.6961
 433	 959.433	0.6682	0.2080	+0.4601
 434	 959.467	0.0063	0.2390	-0.2327
 435	 959.500	0.0104	0.3512	-0.3408
 436	 959.533	0.6715	0.3908	+0.2808
 437	 959.567	0.6681	0.2381	+0.4301
 438	 959.600	0.0089	0.4490	-0.4401
 439	 959.633	0.0115	0.6487	-0.6372
 440	 959.667	0.7760	0.5195	+0.2566
 441	 959.700	0.4687	1.0000	-0.5313
 442	 959.733	0.4775	0.1790	+0.2985
 443	 959.767	0.0113	0.1163	-0.1051
 444	 959.800	0.0317	0.0849	-0.0532
 445	 959.833	0.7771	0.1828	+0.5943
 446	 959.867	0.1293	0.3084	-0.1790
 447	 959.900	0.1052	0.1159	-0.0107
 448	 959.933	0.1626	0.2358	-0.0732
 449	 959.967	0.0665	0.4839	-0.4173
 450	 960.000	0.0707	1.0000	-0.9293
 451	 960.033	0.0600	0.8819	-0.8219
 452	 960.067	0.4964	0.5463	-0.0499
 453	 960.100	0.5018	1.0000	-0.4982
 454	 960.133	0.0458	1.0000	-0.9542
 455	 960.167	0.0643	1.0000	-0.9357
 456	 960.200	0.1131	0.0945	+0.0186
 457	 960.233	0.1007	0.1058	-0.0051
 458	 960.267	0.1894	0.0799	+0.1095
 459	 960.300	0.8168	0.0529	+0.7639
 460	 960.333	0.1404	0.1010	+0.0394
 461	 960.367	0.1157	0.0963	+0.0194
 462	 960.400	0.1370	0.2938	-0.1568
 463	 960.433	0.0740	0.1115	-0.0376
 464	 960.467	0.0481	0.3325	-0.2844
 465	 960.500	0.0639	0.5700	-0.5060
 466	 960.533	0.0339	1.0000	-0.9661
 467	 960.567	0.0604	0.5261	-0.4657
 468	 960.600	0.1099	0.2855	-0.1756
 469	 960.633	0.0975	0.2943	-0.1968
 470	 960.667	0.1273	0.3130	-0.1857
 471	 960.700	0.1225	0.3980	-0.2755
 472	 960.733	0.0977	0.3037	-0.2059
 473	 960.767	0.0728	0.1862	-0.1134
 474	 960.800	0.0798	0.6463	-0.5665
 475	 960.833	0.7520	0.3587	+0.3932
 476	 960.867	0.7490	0.6189	+0.1301
 477	 960.900	0.0392	0.2902	-0.2511
 478	 960.933	0.0317	0.2839	-0.2521
 479	 960.967	0.0509	0.2264	-0.1755
 480	 961.000	0.0291	0.3530	-0.3238
 481	 961.033	0.0427	0.7452	-0.7025
 482	 961.067	0.0573	0.8253	-0.7680
 483	 961.100	0.0362	0.2083	-0.1720
 484	 961.133	0.0597	0.1981	-0.1384
 485	 961.167	0.0334	0.2179	-0.1846
 486	 961.200	0.0510	0.1241	-0.0731
 487	 961.233	0.7260	0.7453	-0.0193
 488	 961.267	0.7444	0.2952	+0.4492
 489	 961.300	0.0582	0.3651	-0.3068
 490	 961.333	0.0511	0.3330	-0.2819
 491	 961.367	0.0365	0.6507	-0.6142
 492	 961.400	0.0635	0.7418	-0.6783
 493	 961.433	0.1011	0.6266	-0.5254
 494	 961.467	0.0481	0.7319	-0.6837
 495	 961.500	0.7980	0.2869	+0.5111
 496	 961.533	0.0835	0.2757	-0.1921
 497	 961.567	0.0586	0.2345	-0.1759
 498	 961.600	0.0255	0.3204	-0.2950
 499	 961.633	0.0541	0.4546	-0.4005
 500	 961.667	0.0828	0.4334	-0.3506
 501	 961.700	0.7478	0.3503	+0.3975
 502	 961.733	0.0292	0.5588	-0.5295
 503	 961.767	0.0622	0.4812	-0.4189
 504	 961.800	0.0277	0.6538	-0.6261
 505	 961.833	0.0403	1.0000	-0.9597
 506	 961.867	0.7638	0.1136	+0.6502
 507	 961.900	0.0676	0.0700	-0.0025
 508	 961.933	0.0401	0.1343	-0.0942
 509	 961.967	0.0534	0.0422	+0.0113
 510	 962.000	0.0215	0.1075	-0.0860
 511	 962.033	0.0630	0.0937	-0.0307
 512	 962.067	0.7379	0.1333	+0.6046
 513	 962.100	0.0784	0.2550	-0.1766
 514	 962.133	0.0619	0.1482	-0.0863
 515	 962.167	0.0410	0.3180	-0.2770
 516	 962.200	0.0419	1.0000	-0.9581
 517	 962.233	0.0380	1.0000	-0.9620
 518	 962.267	0.0695	0.9285	-0.8591
 519	 962.300	0.0262	0.1812	-0.1550
 520	 962.333	0.0307	0.1622	-0.1314
 521	 962.367	0.0254	0.1652	-0.1398
 522	 962.400	0.0205	0.1033	-0.0828
 523	 962.433	0.0452	0.1113	-0.0661
 524	 962.467	0.0323	0.2739	-0.2416
 525	 962.500	0.0289	0.4071	-0.3783
 526	 962.533	0.0231	0.3277	-0.3046
 527	 962.567	0.0195	0.3427	-0.3232
 528	 962.600	0.0366	0.1887	-0.1522
 529	 962.633	0.0373	0.2415	-0.2042
 530	 962.667	0.0275	0.2229	-0.1954
 531	 962.700	0.0186	0.2368	-0.2182
 532	 962.733	0.0229	0.1953	-0.1723
 533	 962.767	0.0375	0.3718	-0.3343
 534	 962.800	0.0192	0.3904	-0.3712
 535	 962.833	0.0229	0.2589	-0.2359
 536	 962.867	0.0210	0.3048	-0.2838
 537	 962.900	0.0485	0.2347	-0.1862
 538	 962.933	0.0222	0.2748	-0.2526
 539	 962.967	0.0455	0.5844	-0.5389
 540	 963.000	0.0106	0.1807	-0.1701
 541	 963.033	0.0076	0.0891	-0.0814
 542	 963.067	0.0096	0.1693	-0.1597
 543	 963.100	0.0148	0.1986	-0.1838
 544	 963.133	0.0236	0.1008	-0.0772
 545	 963.167	0.0351	0.1257	-0.0906
 546	 963.200	0.0124	0.2963	-0.2839
 547	 963.233	0.0352	0.2021	-0.1669
 548	 963.267	0.0229	0.1536	-0.1307
 549	 963.300	0.0390	0.3233	-0.2843
 550	 963.333	0.0104	0.0941	-0.0838
 551	 963.367	0.7648	0.0847	+0.6801
 552	 963.400	0.7714	0.1953	+0.5761
 553	 963.433	0.0191	0.6655	-0.6463
 554	 963.467	0.7689	0.6460	+0.1230
 555	 963.500	0.7705	0.3122	+0.4583
 556	 963.533	0.0221	0.1631	-0.1410
 557	 963.567	0.0047	0.6758	-0.6712
 558	 963.600	0.0443	0.1242	-0.0798
 559	 963.633	0.0201	0.3123	-0.2922
 560	 963.667	0.0095	0.2498	-0.2402
 561	 963.700	0.0596	0.1251	-0.0655
 562	 963.733	0.0067	0.1283	-0.1216
 563	 963.767	0.0235	0.2109	-0.1874
 564	 963.800	0.0108	0.1025	-0.0917
 565	 963.833	0.0096	0.0985	-0.0889
 566	 963.867	0.0207	0.0696	-0.0488
 567	 963.900	0.0310	0.1276	-0.0966
 568	 963.933	0.0117	0.0637	-0.0520
 569	 963.967	0.0064	0.1370	-0.1306
 570	 964.000	0.0335	0.1492	-0.1157
 571	 964.033	0.0117	0.3072	-0.2955
 572	 964.067	0.0147	0.1420	-0.1273
