frame	fused_speaker	diar_label_at_that_frame	vad_speech	eq=(fused==diar)
 279	spk_a        	spk_a                   	True      	True
 280	spk_a        	spk_a                   	True      	True
 281	spk_a        	spk_a                   	True      	True
 282	spk_a        	spk_a                   	True      	True
 283	spk_a        	spk_a                   	True      	True
 284	spk_a        	spk_a                   	True      	True
 285	spk_a        	spk_a                   	True      	True
 286	spk_a        	spk_a                   	True      	True
 287	spk_a        	spk_a                   	True      	True
 288	spk_a        	spk_a                   	True      	True
 289	spk_a        	spk_a                   	True      	True
 290	spk_a        	spk_a                   	True      	True
 291	spk_a        	spk_a                   	True      	True
 292	spk_a        	spk_a                   	True      	True
 293	spk_a        	spk_a                   	True      	True
 294	spk_a        	spk_a                   	True      	True
 295	spk_a        	spk_a                   	True      	True
 296	spk_a        	spk_a                   	True      	True
 297	spk_a        	spk_a                   	True      	True
 298	spk_a        	spk_a                   	True      	True
 299	spk_a        	spk_a                   	True      	True
 300	spk_a        	spk_a                   	True      	True
 301	spk_a        	spk_a                   	True      	True
 302	spk_a        	spk_a                   	True      	True
 303	spk_a        	spk_a                   	True      	True
 304	spk_a        	spk_a                   	True      	True
 305	spk_a        	spk_a                   	True      	True
 306	spk_a        	spk_a                   	True      	True
 307	spk_a        	spk_a                   	True      	True
 308	spk_a        	spk_a                   	True      	True
 309	spk_a        	spk_a                   	True      	True
 310	spk_a        	spk_a                   	True      	True
 311	spk_a        	spk_a                   	True      	True
 312	spk_a        	spk_a                   	True      	True
 313	spk_a        	spk_a                   	True      	True
 314	spk_a        	spk_a                   	True      	True
 315	spk_a        	spk_a                   	True      	True
 316	spk_a        	spk_a                   	True      	True
 317	spk_a        	spk_a                   	True      	True
 318	spk_a        	spk_a                   	True      	True
 319	spk_a        	spk_a                   	True      	True
 320	spk_a        	spk_a                   	True      	True
 321	spk_a        	spk_a                   	True      	True
 322	spk_a        	spk_a                   	True      	True
 323	spk_a        	spk_a                   	True      	True
 324	spk_a        	spk_a                   	True      	True
 325	spk_a        	spk_a                   	True      	True
 326	spk_a        	spk_a                   	True      	True
 327	spk_a        	spk_a                   	True      	True
 328	spk_a        	spk_a                   	True      	True
 329	spk_a        	spk_a                   	True      	True
 330	spk_a        	spk_a                   	True      	True
 331	spk_a        	spk_a                   	True      	True
 332	spk_a        	spk_a                   	True      	True
 333	spk_a        	spk_a                   	True      	True
 334	spk_a        	spk_a                   	True      	True
 335	spk_a        	spk_a                   	True      	True
 336	spk_a        	spk_a                   	True      	True
 337	spk_a        	spk_a                   	True      	True
 338	spk_a        	spk_a                   	True      	True
 339	spk_a        	spk_a                   	True      	True
 340	spk_a        	spk_a                   	True      	True
 341	spk_a        	spk_a                   	True      	True
 342	spk_a        	spk_a                   	True      	True
 343	spk_a        	spk_a                   	True      	True
 344	spk_a        	spk_a                   	True      	True
 345	spk_a        	spk_a                   	True      	True
 346	spk_a        	spk_a                   	True      	True
 347	spk_a        	spk_a                   	True      	True
 348	spk_a        	spk_a                   	True      	True
 349	spk_a        	spk_a                   	True      	True
 350	spk_a        	spk_a                   	True      	True
 351	spk_a        	spk_a                   	True      	True
 352	spk_a        	spk_a                   	True      	True
 353	spk_a        	spk_a                   	True      	True
 354	spk_a        	spk_a                   	True      	True
