# Per-frame agreement breakdown for reel_c1: fused active speaker timeline vs diarization label
# Note: diar_label shows raw transcript segment speaker; vad_speech gates active speech evaluation.
# frame	vad_speech	fused_label	diar_label	mouth_raw	agree
 250	True 	spk_a      	spk_a  	spk_a  	True 
 251	True 	spk_a      	spk_a  	spk_a  	True 
 252	True 	spk_a      	spk_a  	spk_b  	True 
 253	True 	spk_a      	spk_a  	spk_b  	True 
 254	True 	spk_a      	spk_a  	spk_b  	True 
 255	True 	spk_a      	spk_a  	spk_b  	True 
 256	True 	spk_a      	spk_a  	spk_b  	True 
 257	True 	spk_a      	spk_a  	spk_b  	True 
 258	True 	spk_a      	spk_a  	spk_b  	True 
 259	True 	spk_a      	spk_a  	spk_a  	True 
 260	True 	spk_a      	spk_a  	spk_a  	True 
 261	True 	spk_a      	spk_a  	spk_b  	True 
 262	True 	spk_a      	spk_a  	spk_b  	True 
 263	True 	spk_a      	spk_a  	spk_b  	True 
 264	True 	spk_a      	spk_a  	spk_b  	True 
 265	True 	spk_a      	spk_a  	spk_b  	True 
 266	True 	spk_a      	spk_a  	spk_b  	True 
 267	True 	spk_a      	spk_a  	spk_b  	True 
 268	True 	spk_a      	spk_a  	spk_b  	True 
 269	True 	spk_a      	spk_a  	spk_b  	True 
 270	True 	spk_a      	spk_a  	spk_b  	True 
 271	True 	spk_a      	spk_a  	spk_b  	True 
 272	True 	spk_a      	spk_a  	spk_b  	True 
 273	True 	spk_a      	spk_a  	spk_b  	True 
 274	True 	spk_a      	spk_a  	spk_b  	True 
 275	True 	spk_a      	spk_a  	spk_b  	True 
 276	True 	spk_a      	spk_a  	spk_b  	True 
 277	True 	spk_a      	spk_a  	spk_b  	True 
 278	True 	spk_a      	spk_a  	spk_b  	True 
 279	True 	spk_a      	spk_a  	spk_b  	True 
 280	True 	spk_a      	spk_a  	spk_b  	True 
 281	True 	spk_a      	spk_a  	spk_a  	True 
 282	True 	spk_a      	spk_a  	spk_a  	True 
 283	True 	spk_a      	spk_a  	spk_b  	True 
 284	True 	spk_a      	spk_a  	spk_b  	True 
 285	True 	spk_a      	spk_a  	spk_b  	True 
 286	True 	spk_a      	spk_a  	spk_b  	True 
 287	True 	spk_a      	spk_a  	spk_b  	True 
 288	True 	spk_a      	spk_a  	spk_b  	True 
 289	True 	spk_a      	spk_a  	spk_b  	True 
 290	True 	spk_a      	spk_a  	spk_b  	True 
 291	True 	spk_a      	spk_a  	spk_b  	True 
 292	True 	spk_a      	spk_a  	spk_b  	True 
 293	True 	spk_a      	spk_a  	spk_b  	True 
 294	True 	spk_a      	spk_a  	spk_b  	True 
 295	True 	spk_a      	spk_a  	spk_b  	True 
 296	True 	spk_a      	spk_a  	spk_b  	True 
 297	True 	spk_a      	spk_a  	spk_b  	True 
 298	True 	spk_a      	spk_a  	spk_b  	True 
 299	True 	spk_a      	spk_a  	spk_b  	True 
 300	True 	spk_a      	spk_a  	spk_b  	True 
 301	True 	spk_a      	spk_a  	spk_b  	True 
 302	True 	spk_a      	spk_a  	spk_b  	True 
 303	True 	spk_a      	spk_a  	spk_b  	True 
 304	True 	spk_a      	spk_a  	spk_b  	True 
 305	True 	spk_a      	spk_a  	spk_b  	True 
 306	True 	spk_a      	spk_a  	spk_b  	True 
 307	True 	spk_a      	spk_a  	spk_b  	True 
 308	True 	spk_a      	spk_a  	spk_b  	True 
 309	True 	spk_a      	spk_a  	spk_b  	True 
 310	True 	spk_a      	spk_a  	spk_b  	True 
 311	True 	spk_a      	spk_a  	spk_b  	True 
 312	True 	spk_a      	spk_a  	spk_b  	True 
 313	True 	spk_a      	spk_a  	spk_b  	True 
 314	True 	spk_a      	spk_a  	spk_b  	True 
 315	True 	spk_a      	spk_a  	spk_a  	True 
 316	True 	spk_a      	spk_a  	spk_b  	True 
 317	True 	spk_a      	spk_a  	spk_b  	True 
 318	True 	spk_a      	spk_a  	spk_b  	True 
 319	True 	spk_a      	spk_a  	spk_b  	True 
 320	True 	spk_a      	spk_a  	spk_b  	True 
 321	True 	spk_a      	spk_a  	spk_a  	True 
 322	True 	spk_a      	spk_a  	spk_a  	True 
 323	True 	spk_a      	spk_a  	spk_a  	True 
 324	True 	spk_a      	spk_a  	spk_a  	True 
 325	True 	spk_a      	spk_a  	spk_a  	True 
 326	True 	spk_a      	spk_a  	spk_a  	True 
 327	True 	spk_a      	spk_a  	spk_a  	True 
 328	True 	spk_a      	spk_a  	spk_a  	True 
 329	True 	spk_a      	spk_a  	spk_b  	True 
 330	True 	spk_a      	spk_a  	spk_b  	True 
 331	True 	spk_a      	spk_a  	spk_b  	True 
 332	True 	spk_a      	spk_a  	spk_b  	True 
